"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1993-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","5702","","","","0"
"1993-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","5769","","","","0"
"1993-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","7603","","","","0"
"1993-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12166","","","","0"
"1993-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11791","","","","0"
"1993-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11576","","","","0"
"1993-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11898","","","","0"
"1993-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10317","","","","0"
"1993-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9487","","","","0"
"1993-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10612","","","","0"
"1993-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10530","","","","0"
"1993-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9545","","","","0"
"1994-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","5981","","","","0"
"1994-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6119","","","","0"
"1994-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6994","","","","0"
"1994-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11677","","","","0"
"1994-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","13210","","","","0"
"1994-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12879","","","","0"
"1994-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11766","","","","0"
"1994-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9832","","","","0"
"1994-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9864","","","","0"
"1994-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10028","","","","0"
"1994-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9219","","","","0"
"1994-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6991","","","","0"
"1995-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6041","","","","0"
"1995-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","5092","","","","0"
"1995-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","4563","","","","0"
"1995-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8128","","","","0"
"1995-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","7589","","","","0"
"1995-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8378","","","","0"
"1995-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","7066","","","","0"
"1995-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","7092","","","","0"
"1995-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","7094","","","","0"
"1995-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6562","","","","0"
"1995-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6848","","","","0"
"1995-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6419","","","","0"
"1996-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","3874","","","","0"
"1996-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","4139","","","","0"
"1996-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","4728","","","","0"
"1996-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6956","","","","0"
"1996-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10507","","","","0"
"1996-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10542","","","","0"
"1996-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9412","","","","0"
"1996-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8503","","","","0"
"1996-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8861","","","","0"
"1996-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","7318","","","","0"
"1996-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8974","","","","0"
"1996-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","7932","","","","0"
"1997-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","5769","","","","0"
"1997-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6290","","","","0"
"1997-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6663","","","","0"
"1997-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10244","","","","0"
"1997-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12638","","","","0"
"1997-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10995","","","","0"
"1997-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11099","","","","0"
