Id,When,Type,Unit,Alberta,ModifiedDate
156211,4/1/1983 0:00,WTI,$US/bbl,30.5,2/24/2021 9:00
156212,5/1/1983 0:00,WTI,$US/bbl,30.16,2/24/2021 9:00
156213,6/1/1983 0:00,WTI,$US/bbl,30.96,2/24/2021 9:00
156214,7/1/1983 0:00,WTI,$US/bbl,31.59,2/24/2021 9:00
156215,8/1/1983 0:00,WTI,$US/bbl,31.88,2/24/2021 9:00
156216,9/1/1983 0:00,WTI,$US/bbl,31.24,2/24/2021 9:00
156217,10/1/1983 0:00,WTI,$US/bbl,30.4,2/24/2021 9:00
156218,11/1/1983 0:00,WTI,$US/bbl,29.86,2/24/2021 9:00
156219,12/1/1983 0:00,WTI,$US/bbl,29.24,2/24/2021 9:00
156220,1/1/1984 0:00,WTI,$US/bbl,29.65,2/24/2021 9:00
156221,2/1/1984 0:00,WTI,$US/bbl,30.05,2/24/2021 9:00
156222,3/1/1984 0:00,WTI,$US/bbl,30.72,2/24/2021 9:00
156223,4/1/1984 0:00,WTI,$US/bbl,30.65,2/24/2021 9:00
156224,5/1/1984 0:00,WTI,$US/bbl,30.55,2/24/2021 9:00
156225,6/1/1984 0:00,WTI,$US/bbl,29.98,2/24/2021 9:00
156226,7/1/1984 0:00,WTI,$US/bbl,28.74,2/24/2021 9:00
156227,8/1/1984 0:00,WTI,$US/bbl,29.33,2/24/2021 9:00
156228,9/1/1984 0:00,WTI,$US/bbl,29.38,2/24/2021 9:00
156229,10/1/1984 0:00,WTI,$US/bbl,28.8,2/24/2021 9:00
156230,11/1/1984 0:00,WTI,$US/bbl,28.11,2/24/2021 9:00
156231,12/1/1984 0:00,WTI,$US/bbl,26.91,2/24/2021 9:00
156232,1/1/1985 0:00,WTI,$US/bbl,25.64,2/24/2021 9:00
156233,2/1/1985 0:00,WTI,$US/bbl,27.14,2/24/2021 9:00
156234,3/1/1985 0:00,WTI,$US/bbl,28.12,2/24/2021 9:00
156235,4/1/1985 0:00,WTI,$US/bbl,28.71,2/24/2021 9:00
156236,5/1/1985 0:00,WTI,$US/bbl,27.58,2/24/2021 9:00
156237,6/1/1985 0:00,WTI,$US/bbl,27.09,2/24/2021 9:00
156238,7/1/1985 0:00,WTI,$US/bbl,27.27,2/24/2021 9:00
156239,8/1/1985 0:00,WTI,$US/bbl,27.74,2/24/2021 9:00
156240,9/1/1985 0:00,WTI,$US/bbl,28.22,2/24/2021 9:00
156241,10/1/1985 0:00,WTI,$US/bbl,29.48,2/24/2021 9:00
156242,11/1/1985 0:00,WTI,$US/bbl,30.73,2/24/2021 9:00
156243,12/1/1985 0:00,WTI,$US/bbl,27.15,2/24/2021 9:00
156244,1/1/1986 0:00,WTI,$US/bbl,22.98,2/24/2021 9:00
156245,2/1/1986 0:00,WTI,$US/bbl,15.46,2/24/2021 9:00
156246,3/1/1986 0:00,WTI,$US/bbl,12.62,2/24/2021 9:00
156247,4/1/1986 0:00,WTI,$US/bbl,12.75,2/24/2021 9:00
156248,5/1/1986 0:00,WTI,$US/bbl,15.26,2/24/2021 9:00
156249,6/1/1986 0:00,WTI,$US/bbl,13.38,2/24/2021 9:00
156250,7/1/1986 0:00,WTI,$US/bbl,11.58,2/24/2021 9:00
156251,8/1/1986 0:00,WTI,$US/bbl,15.11,2/24/2021 9:00
156252,9/1/1986 0:00,WTI,$US/bbl,14.94,2/24/2021 9:00
156253,10/1/1986 0:00,WTI,$US/bbl,14.89,2/24/2021 9:00
156254,11/1/1986 0:00,WTI,$US/bbl,15.23,2/24/2021 9:00
156255,12/1/1986 0:00,WTI,$US/bbl,16.09,2/24/2021 9:00
156256,1/1/1987 0:00,WTI,$US/bbl,18.67,2/24/2021 9:00
156257,2/1/1987 0:00,WTI,$US/bbl,17.73,2/24/2021 9:00
156258,3/1/1987 0:00,WTI,$US/bbl,18.28,2/24/2021 9:00
156259,4/1/1987 0:00,WTI,$US/bbl,18.6,2/24/2021 9:00
156260,5/1/1987 0:00,WTI,$US/bbl,19.33,2/24/2021 9:00
156261,6/1/1987 0:00,WTI,$US/bbl,19.99,2/24/2021 9:00
156262,7/1/1987 0:00,WTI,$US/bbl,21.33,2/24/2021 9:00
156263,8/1/1987 0:00,WTI,$US/bbl,20.23,2/24/2021 9:00
156264,9/1/1987 0:00,WTI,$US/bbl,19.52,2/24/2021 9:00
156265,10/1/1987 0:00,WTI,$US/bbl,19.86,2/24/2021 9:00
156266,11/1/1987 0:00,WTI,$US/bbl,18.85,2/24/2021 9:00
156267,12/1/1987 0:00,WTI,$US/bbl,17.26,2/24/2021 9:00
156268,1/1/1988 0:00,WTI,$US/bbl,17.15,2/24/2021 9:00
156269,2/1/1988 0:00,WTI,$US/bbl,16.76,2/24/2021 9:00
156270,3/1/1988 0:00,WTI,$US/bbl,16.21,2/24/2021 9:00
156271,4/1/1988 0:00,WTI,$US/bbl,17.88,2/24/2021 9:00
156272,5/1/1988 0:00,WTI,$US/bbl,17.45,2/24/2021 9:00
156273,6/1/1988 0:00,WTI,$US/bbl,16.56,2/24/2021 9:00
156274,7/1/1988 0:00,WTI,$US/bbl,15.51,2/24/2021 9:00
156275,8/1/1988 0:00,WTI,$US/bbl,15.53,2/24/2021 9:00
156276,9/1/1988 0:00,WTI,$US/bbl,14.46,2/24/2021 9:00
156277,10/1/1988 0:00,WTI,$US/bbl,13.8,2/24/2021 9:00
156278,11/1/1988 0:00,WTI,$US/bbl,13.98,2/24/2021 9:00
156279,12/1/1988 0:00,WTI,$US/bbl,16.28,2/24/2021 9:00
156280,1/1/1989 0:00,WTI,$US/bbl,17.98,2/24/2021 9:00
156281,2/1/1989 0:00,WTI,$US/bbl,17.82,2/24/2021 9:00
156282,3/1/1989 0:00,WTI,$US/bbl,19.44,2/24/2021 9:00
156283,4/1/1989 0:00,WTI,$US/bbl,20.94,2/24/2021 9:00
156284,5/1/1989 0:00,WTI,$US/bbl,20.03,2/24/2021 9:00
156285,6/1/1989 0:00,WTI,$US/bbl,19.99,2/24/2021 9:00
156286,7/1/1989 0:00,WTI,$US/bbl,19.66,2/24/2021 9:00
156287,8/1/1989 0:00,WTI,$US/bbl,18.55,2/24/2021 9:00
156288,9/1/1989 0:00,WTI,$US/bbl,19.59,2/24/2021 9:00
156289,10/1/1989 0:00,WTI,$US/bbl,20.1,2/24/2021 9:00
156290,11/1/1989 0:00,WTI,$US/bbl,19.83,2/24/2021 9:00
156291,12/1/1989 0:00,WTI,$US/bbl,21.09,2/24/2021 9:00
156292,1/1/1990 0:00,WTI,$US/bbl,22.64,2/24/2021 9:00
156293,2/1/1990 0:00,WTI,$US/bbl,22.11,2/24/2021 9:00
156294,3/1/1990 0:00,WTI,$US/bbl,20.41,2/24/2021 9:00
156295,4/1/1990 0:00,WTI,$US/bbl,18.58,2/24/2021 9:00
156296,5/1/1990 0:00,WTI,$US/bbl,18.46,2/24/2021 9:00
156297,6/1/1990 0:00,WTI,$US/bbl,16.86,2/24/2021 9:00
156298,7/1/1990 0:00,WTI,$US/bbl,18.64,2/24/2021 9:00
156299,8/1/1990 0:00,WTI,$US/bbl,27.18,2/24/2021 9:00
156300,9/1/1990 0:00,WTI,$US/bbl,33.69,2/24/2021 9:00
156301,10/1/1990 0:00,WTI,$US/bbl,35.92,2/24/2021 9:00
156302,11/1/1990 0:00,WTI,$US/bbl,32.3,2/24/2021 9:00
156303,12/1/1990 0:00,WTI,$US/bbl,27.16,2/24/2021 9:00
156304,1/1/1991 0:00,WTI,$US/bbl,24.7,2/24/2021 9:00
156305,2/1/1991 0:00,WTI,$US/bbl,20.54,2/24/2021 9:00
156306,3/1/1991 0:00,WTI,$US/bbl,19.88,2/24/2021 9:00
156307,4/1/1991 0:00,WTI,$US/bbl,20.82,2/24/2021 9:00
156308,5/1/1991 0:00,WTI,$US/bbl,21.25,2/24/2021 9:00
156309,6/1/1991 0:00,WTI,$US/bbl,20.2,2/24/2021 9:00
156310,7/1/1991 0:00,WTI,$US/bbl,21.43,2/24/2021 9:00
