Date,Open,High,Low,Close,Adj Close,Volume
1979-06-29,1614.699951,1619.800049,1614.699951,1618.400024,1618.400024,0
1979-07-02,1618.400024,1619.800049,1614.699951,1618.400024,1618.400024,0
1979-07-03,1613.599976,1613.599976,1601.699951,1602.800049,1602.800049,0
1979-07-04,1601.500000,1601.500000,1589.500000,1591.400024,1591.400024,0
1979-07-05,1590.000000,1590.000000,1582.500000,1583.900024,1583.900024,0
1979-07-06,1583.900024,1586.599976,1578.300049,1586.599976,1586.599976,0
1979-07-09,1586.599976,1588.500000,1585.500000,1586.300049,1586.300049,0
1979-07-10,1584.900024,1584.900024,1579.000000,1580.199951,1580.199951,0
1979-07-11,1576.800049,1576.800049,1560.900024,1563.199951,1563.199951,0
1979-07-12,1561.500000,1561.500000,1533.199951,1533.699951,1533.699951,0
1979-07-13,1533.699951,1538.099976,1520.599976,1537.400024,1537.400024,0
1979-07-16,1539.800049,1551.699951,1539.800049,1551.599976,1551.599976,0
1979-07-17,1554.599976,1563.099976,1554.599976,1560.900024,1560.900024,0
1979-07-18,1557.099976,1557.099976,1547.300049,1550.800049,1550.800049,0
1979-07-19,1550.800049,1554.300049,1548.300049,1552.400024,1552.400024,0
1979-07-20,1552.400024,1557.500000,1550.599976,1557.500000,1557.500000,0
1979-07-23,1553.099976,1553.099976,1544.400024,1546.000000,1546.000000,0
1979-07-24,1546.000000,1549.500000,1545.400024,1547.099976,1547.099976,0
1979-07-25,1548.400024,1557.199951,1548.400024,1556.800049,1556.800049,0
1979-07-26,1557.400024,1570.000000,1557.400024,1570.000000,1570.000000,0
1979-07-27,1572.199951,1578.000000,1572.199951,1578.000000,1578.000000,0
1979-07-30,1575.699951,1575.699951,1568.099976,1568.099976,1568.099976,0
1979-07-31,1564.599976,1564.599976,1558.099976,1558.099976,1558.099976,0
1979-08-01,1558.099976,1558.500000,1554.000000,1558.099976,1558.099976,0
1979-08-02,1560.300049,1563.900024,1560.300049,1560.900024,1560.900024,0
1979-08-03,1560.900024,1561.500000,1556.800049,1557.800049,1557.800049,0
1979-08-06,1557.800049,1557.800049,1557.800049,1557.800049,1557.800049,0
1979-08-07,1557.800049,1559.500000,1555.199951,1555.900024,1555.900024,0
1979-08-08,1555.900024,1567.099976,1553.099976,1565.199951,1565.199951,0
1979-08-09,1565.199951,1571.400024,1564.500000,1566.500000,1566.500000,0
1979-08-10,1567.900024,1576.000000,1567.900024,1575.000000,1575.000000,0
