Id,When,Type,Unit,Alberta,ModifiedDate
156274,7/1/1988 12:00:00 AM,WTI,$US/bbl,15.51,2/24/2021 9:00:25 AM
156275,8/1/1988 12:00:00 AM,WTI,$US/bbl,15.53,2/24/2021 9:00:25 AM
156276,9/1/1988 12:00:00 AM,WTI,$US/bbl,14.46,2/24/2021 9:00:25 AM
156277,10/1/1988 12:00:00 AM,WTI,$US/bbl,13.8,2/24/2021 9:00:25 AM
156278,11/1/1988 12:00:00 AM,WTI,$US/bbl,13.98,2/24/2021 9:00:25 AM
156279,12/1/1988 12:00:00 AM,WTI,$US/bbl,16.28,2/24/2021 9:00:25 AM
156280,1/1/1989 12:00:00 AM,WTI,$US/bbl,17.98,2/24/2021 9:00:25 AM
156281,2/1/1989 12:00:00 AM,WTI,$US/bbl,17.82,2/24/2021 9:00:25 AM
156282,3/1/1989 12:00:00 AM,WTI,$US/bbl,19.44,2/24/2021 9:00:25 AM
156283,4/1/1989 12:00:00 AM,WTI,$US/bbl,20.94,2/24/2021 9:00:25 AM
156284,5/1/1989 12:00:00 AM,WTI,$US/bbl,20.03,2/24/2021 9:00:25 AM
156285,6/1/1989 12:00:00 AM,WTI,$US/bbl,19.99,2/24/2021 9:00:25 AM
156286,7/1/1989 12:00:00 AM,WTI,$US/bbl,19.66,2/24/2021 9:00:25 AM
156287,8/1/1989 12:00:00 AM,WTI,$US/bbl,18.55,2/24/2021 9:00:25 AM
156288,9/1/1989 12:00:00 AM,WTI,$US/bbl,19.59,2/24/2021 9:00:25 AM
156289,10/1/1989 12:00:00 AM,WTI,$US/bbl,20.1,2/24/2021 9:00:25 AM
156290,11/1/1989 12:00:00 AM,WTI,$US/bbl,19.83,2/24/2021 9:00:25 AM
156291,12/1/1989 12:00:00 AM,WTI,$US/bbl,21.09,2/24/2021 9:00:25 AM
156292,1/1/1990 12:00:00 AM,WTI,$US/bbl,22.64,2/24/2021 9:00:25 AM
156293,2/1/1990 12:00:00 AM,WTI,$US/bbl,22.11,2/24/2021 9:00:25 AM
156294,3/1/1990 12:00:00 AM,WTI,$US/bbl,20.41,2/24/2021 9:00:25 AM
156295,4/1/1990 12:00:00 AM,WTI,$US/bbl,18.58,2/24/2021 9:00:25 AM
156296,5/1/1990 12:00:00 AM,WTI,$US/bbl,18.46,2/24/2021 9:00:25 AM
156297,6/1/1990 12:00:00 AM,WTI,$US/bbl,16.86,2/24/2021 9:00:25 AM
156298,7/1/1990 12:00:00 AM,WTI,$US/bbl,18.64,2/24/2021 9:00:25 AM
156299,8/1/1990 12:00:00 AM,WTI,$US/bbl,27.18,2/24/2021 9:00:25 AM
156300,9/1/1990 12:00:00 AM,WTI,$US/bbl,33.69,2/24/2021 9:00:25 AM
156301,10/1/1990 12:00:00 AM,WTI,$US/bbl,35.92,2/24/2021 9:00:25 AM
156302,11/1/1990 12:00:00 AM,WTI,$US/bbl,32.3,2/24/2021 9:00:25 AM
156303,12/1/1990 12:00:00 AM,WTI,$US/bbl,27.16,2/24/2021 9:00:25 AM
156304,1/1/1991 12:00:00 AM,WTI,$US/bbl,24.7,2/24/2021 9:00:25 AM
156305,2/1/1991 12:00:00 AM,WTI,$US/bbl,20.54,2/24/2021 9:00:25 AM
156306,3/1/1991 12:00:00 AM,WTI,$US/bbl,19.88,2/24/2021 9:00:25 AM
156307,4/1/1991 12:00:00 AM,WTI,$US/bbl,20.82,2/24/2021 9:00:25 AM
156308,5/1/1991 12:00:00 AM,WTI,$US/bbl,21.25,2/24/2021 9:00:25 AM
156309,6/1/1991 12:00:00 AM,WTI,$US/bbl,20.2,2/24/2021 9:00:25 AM
156310,7/1/1991 12:00:00 AM,WTI,$US/bbl,21.43,2/24/2021 9:00:25 AM
156311,8/1/1991 12:00:00 AM,WTI,$US/bbl,21.68,2/24/2021 9:00:25 AM
156312,9/1/1991 12:00:00 AM,WTI,$US/bbl,21.86,2/24/2021 9:00:25 AM
156313,10/1/1991 12:00:00 AM,WTI,$US/bbl,23.23,2/24/2021 9:00:25 AM
156314,11/1/1991 12:00:00 AM,WTI,$US/bbl,22.43,2/24/2021 9:00:25 AM
156315,12/1/1991 12:00:00 AM,WTI,$US/bbl,19.53,2/24/2021 9:00:25 AM
156316,1/1/1992 12:00:00 AM,WTI,$US/bbl,18.82,2/24/2021 9:00:25 AM
156317,2/1/1992 12:00:00 AM,WTI,$US/bbl,19.01,2/24/2021 9:00:25 AM
156318,3/1/1992 12:00:00 AM,WTI,$US/bbl,18.95,2/24/2021 9:00:25 AM
156319,4/1/1992 12:00:00 AM,WTI,$US/bbl,20.26,2/24/2021 9:00:25 AM
156320,5/1/1992 12:00:00 AM,WTI,$US/bbl,21,2/24/2021 9:00:25 AM
156321,6/1/1992 12:00:00 AM,WTI,$US/bbl,22.36,2/24/2021 9:00:25 AM
156322,7/1/1992 12:00:00 AM,WTI,$US/bbl,21.74,2/24/2021 9:00:25 AM
156323,8/1/1992 12:00:00 AM,WTI,$US/bbl,21.29,2/24/2021 9:00:25 AM
156324,9/1/1992 12:00:00 AM,WTI,$US/bbl,21.92,2/24/2021 9:00:25 AM
156325,10/1/1992 12:00:00 AM,WTI,$US/bbl,21.71,2/24/2021 9:00:25 AM
156326,11/1/1992 12:00:00 AM,WTI,$US/bbl,20.36,2/24/2021 9:00:25 AM
156327,12/1/1992 12:00:00 AM,WTI,$US/bbl,19.41,2/24/2021 9:00:25 AM
156328,1/1/1993 12:00:00 AM,WTI,$US/bbl,19.07,2/24/2021 9:00:25 AM
156329,2/1/1993 12:00:00 AM,WTI,$US/bbl,20.08,2/24/2021 9:00:25 AM
156330,3/1/1993 12:00:00 AM,WTI,$US/bbl,20.35,2/24/2021 9:00:25 AM
156331,4/1/1993 12:00:00 AM,WTI,$US/bbl,20.33,2/24/2021 9:00:25 AM
156332,5/1/1993 12:00:00 AM,WTI,$US/bbl,19.98,2/24/2021 9:00:25 AM
156333,6/1/1993 12:00:00 AM,WTI,$US/bbl,19.13,2/24/2021 9:00:25 AM
156334,7/1/1993 12:00:00 AM,WTI,$US/bbl,17.9,2/24/2021 9:00:25 AM
156335,8/1/1993 12:00:00 AM,WTI,$US/bbl,18.01,2/24/2021 9:00:25 AM
156336,9/1/1993 12:00:00 AM,WTI,$US/bbl,17.52,2/24/2021 9:00:25 AM
156337,10/1/1993 12:00:00 AM,WTI,$US/bbl,18.17,2/24/2021 9:00:25 AM
156338,11/1/1993 12:00:00 AM,WTI,$US/bbl,16.74,2/24/2021 9:00:25 AM
156339,12/1/1993 12:00:00 AM,WTI,$US/bbl,14.53,2/24/2021 9:00:25 AM
156340,1/1/1994 12:00:00 AM,WTI,$US/bbl,15.02,2/24/2021 9:00:25 AM
156341,2/1/1994 12:00:00 AM,WTI,$US/bbl,14.78,2/24/2021 9:00:25 AM
156342,3/1/1994 12:00:00 AM,WTI,$US/bbl,14.65,2/24/2021 9:00:25 AM
