,RMSE,MAPE
Gradient Boosting,6502.402777050957,1.3732925707980066
Elastic Net,7640.230585934563,2.759725559637504
Neural Net,8182.757919667121,3.226856376544285
AR(1),9373.616503750034,3.3728783372980984
Ridge,9385.405315568423,2.7911077978061765
SVM,9629.916800166293,3.0100496537338524
Model Avg.,10274.338428367299,2.9417084590672036
LASSO,10428.80890625219,4.623640842946212
