,RMSE,MAPE
Gradient Boosting,6488.058448989189,1.3456440245832706
LASSO,7929.127053347361,5.844016877121967
Ridge,8993.920385807849,2.8180683655829646
AR(1),9373.616503750034,3.372878337298098
Elastic Net,9545.010227044024,2.8442296450730145
Model Avg.,9752.737645303754,2.77145519670866
Neural Net,10221.636327846438,3.0895685408026567
SVM,10875.815133244036,3.038559048217767
