,RMSE,MAPE
Gradient Boosting,6139.572872969259,1.314496876123353
Ridge,8991.187437221515,2.778186406581918
Elastic Net,9315.114822494139,2.8851303591303337
AR(1),9373.616503750034,3.3728783372980984
Neural Net,9428.206660236347,3.1441269156840237
Model Avg.,10587.66781744214,3.3263753380017858
SVM,10889.098888768298,3.039909293216973
LASSO,11932.639058088744,6.891464226196158
