,p-value,DM Test Stat
SVM,0.2158639277638273,1.3604672937543874
Model Avg.,0.2496973393787123,1.2551635576555549
Gradient Boosting,0.3277954748648401,1.0519026454932405
Elastic Net,0.42448544702571633,0.8479929705178827
Ridge,0.5047008765220596,0.7030962403132988
Neural Net,0.6445130395662857,0.4819971365566972
LASSO,0.7390895314211726,-0.3465828604716495
