,RMSE,MAPE
Gradient Boosting,6408.260938039274,1.3347608102108037
Ridge,9100.48791531943,2.7927585953101084
AR(1),9373.616503750034,3.372878337298098
Elastic Net,9403.543514282263,2.7894024570194254
SVM,9636.676245599414,3.0102434568359024
Neural Net,10047.753734510763,3.2921679931901133
LASSO,10206.082087565483,6.10384759300788
Model Avg.,10817.269607697915,3.162561056610776
