,p-value,DM Test Stat
LASSO,0.7984608119083277,0.571044510047283
Gradient Boosting,0.9951635189193899,0.5015432286248264
SVM,1.0376073821263367,0.48825147314193257
Elastic Net,1.1539196720817209,0.4545841832625912
Neural Net,1.188389791517833,0.4453307124686444
Ridge,1.1905444479069738,0.4447626824198281
Model Avg.,1.2013355983001581,0.441935881416417
AR(1),,
