,RMSE,MAPE
Gradient Boosting,10.0,0.0004887764703007198
Ridge,956.0,0.046727030560748804
Neural Net,4379.0,0.2140352163446852
Elastic Net,16467.0,0.8048682136441951
Model Avg.,36184.0,1.7685887801361242
LASSO,41500.37537179634,7.444358908562141
SVM,44896.0,2.1944108410621115
AR(1),46265.778281576546,2.2687048645478205
