,p-value,DM Test Stat
Model Avg.,0.19641892371374065,1.4277472552925352
SVM,0.21474561725480745,1.3641880131545256
Gradient Boosting,0.3280046435724016,1.0514141655469726
Neural Net,0.4307851934947674,0.8359585572220988
Elastic Net,0.465299992712469,0.7721333099487115
Ridge,0.5127328455266575,0.6894607200305903
LASSO,0.5910304698400763,0.562957166646119
