,p-value,DM Test Stat
SVM,0.21593923641967483,1.360217346132719
Model Avg.,0.2283589808263336,1.3200074386031542
LASSO,0.26225140894855137,-1.2192037840970829
Gradient Boosting,0.32712940960453546,1.0534597866998512
Elastic Net,0.3441285256610745,1.0144796632001003
Neural Net,0.3556987562679671,0.9888029782185348
Ridge,0.46475206180458595,0.773120521370554
